股票代码,股票简称,现价(元),涨跌幅(%)
601601.SH,中国太保,28.63,2.84
300097.SZ,智云股份,28.61,-2.42
002179.SZ,中航光电,28.56,0.00
002781.SZ,奇信股份,28.53,0.46
002866.SZ,传艺科技,28.53,-10.00
300115.SZ,长盈精密,28.40,-0.80
300498.SZ,温氏股份,28.38,1.32
601595.SH,上海电影,28.32,-4.90
300626.SZ,华瑞股份,28.30,-7.06
600760.SH,中航黑豹,28.27,0.36
300431.SZ,暴风集团,28.26,-3.22
300203.SZ,聚光科技,28.20,-0.35
300401.SZ,花园生物,28.13,0.46
600685.SH,中船防务,28.13,-3.70
300481.SZ,濮阳惠成,28.07,-7.60
603030.SH,全筑股份,28.06,-2.37
603616.SH,韩建河山,28.05,-5.87
002365.SZ,永安药业,28.00,-0.04
002756.SZ,永兴特钢,27.97,-1.65
300371.SZ,汇中股份,27.97,-5.79
002415.SZ,海康威视,27.92,5.04
300587.SZ,天铁股份,27.90,-5.87
300647.SZ,超频三,27.90,-8.50
002763.SZ,汇洁股份,27.89,-2.18
300417.SZ,南华仪器,27.89,-4.49
300288.SZ,朗玛信息,27.87,0.18
600482.SH,中国动力,27.84,-0.86
002592.SZ,八菱科技,27.80,0.11
002715.SZ,登云股份,27.79,4.12
300212.SZ,易华录,27.68,-4.45
600697.SH,欧亚集团,27.66,-1.25
603839.SH,安正时尚,27.66,-4.82
002722.SZ,金轮股份,27.65,-3.19
600332.SH,白云山,27.64,1.96
002779.SZ,中坚科技,27.62,-3.09
603869.SH,北部湾旅,27.61,-2.27
002712.SZ,思美传媒,27.55,-4.01
002151.SZ,北斗星通,27.52,-1.86
000403.SZ,ST生化,27.47,-2.35
002368.SZ,太极股份,27.47,-1.29
603383.SH,顶点软件,27.43,43.99
603239.SH,浙江仙通,27.39,-8.33
300230.SZ,永利股份,27.38,-1.26
002827.SZ,高争民爆,27.37,-5.43
603025.SH,大豪科技,27.24,-3.34
603819.SH,神力股份,27.23,-6.20
002734.SZ,利民股份,27.18,-2.69
600976.SH,健民集团,27.12,1.01
002174.SZ,游族网络,27.10,-3.90
603611.SH,诺力股份,27.10,-2.80
601628.SH,中国人寿,27.08,3.20
600118.SH,中国卫星,27.06,-0.95
002676.SZ,顺威股份,27.05,-0.77
600230.SH,沧州大化,27.04,-0.84
002074.SZ,国轩高科,27.02,-1.32
002717.SZ,岭南园林,27.00,2.58
000623.SZ,吉林敖东,26.98,-0.96
601200.SH,上海环境,26.94,-3.61
603026.SH,石大胜华,26.91,-3.93
